"","translatedText","detectedSourceLanguage","text"
"13783","Fried Semolina Cakes -- Maple Syrup","en","Fried Semolina Cakes -- Maple Syrup"
"13784","Buzzards Bays half shell","en","Buzzards Bays half shell"
"13785","Plain Oyster Stew","en","Plain Oyster Stew"
"13786","Box Oyster Stew","en","Box Oyster Stew"
"13787","little neck clams on ice","en","little neck clams on ice"
"13788","Fried Oysters, tartar s'ce","en","Fried Oysters, tartar s'ce"
"13789","Broiled Oysters in crumbs","en","Broiled Oysters in crumbs"
"13790","Hot beef tea","en","Hot beef tea"
"13791","plate of soup with bread","en","plate of soup with bread"
"13792","green turtle soup, plate or bowl","en","green turtle soup, plate or bowl"
"13793","Escalope of Lobster(2)","en","Escalope of Lobster(2)"
"13794","baked weak, tomato sauce","en","baked weak, tomato sauce"
"13795","roast turkey cranberry sauce","en","roast turkey cranberry sauce"
"13796","butchers tenderloin, mushrooms sauce","en","butchers tenderloin, mushrooms sauce"
"13797","yankee pot roast, brown potatoes","en","yankee pot roast, brown potatoes"
"13798","Fried Clams, tartar sauce","en","Fried Clams, tartar sauce"
"13799","roast beef croquettes, brown sauce","en","roast beef croquettes, brown sauce"
"13800","Cold Lobster, tartar sauce; whole","en","Cold Lobster, tartar sauce; whole"
"13801","Cold Lobster, tartar sauce; half","en","Cold Lobster, tartar sauce; half"
"13802","lamb stew with peas","en","lamb stew with peas"
"13803","beef pot pie","ro","beef pot pie"
"13804","lamb can pie","ro","lamb pot pie"
"13805","roast lamb, mint sauce or currant jelly","en","roast lamb, mint sauce or currant jelly"
"13806","roast prime ribs of beef, large","en","roast prime ribs of beef, large"
"13807","Bismark herring (I)","en","Bismark herring (I)"
"13808","baked potatoes if preferred","en","baked potatoes if preferred"
"13809","Cold imp. Westphalia ham","en","Cold imp. Westphalia ham"
"13810","scollops and bacon","it","scollops and bacon"
"13811","Boiled Turkey, Parsley Sauce","en","Boiled Turkey, Parsley Sauce"
"13812","Roast Stuffed Veal, Brown Sauce","en","Roast Stuffed Veal, Brown Sauce"
"13813","Hamburg Steak, with Onions","en","Hamburg Steak, with Onions"
"13814","Cold ham, potato salad","en","Cold ham, potato salad"
"13815","Cold salmon steak, mayonnaise","en","Cold salmon steak, mayonnaise"
"13816","crosse & blackwell's chow chow","en","crosse & blackwell's chow chow"
"13817","fruit cabinet","en","fruit cabinet"
"13818","custard, cup","en","custard, cup"
"13819","chocolate corn starch","en","chocolate corn starch"
"13820","welch's grape juice, glass","en","welch's grape juice, glass"
"13821","Horton's ice cream per plate","en","Horton's ice cream per plate"
"13822","Oak Islands","en","Oak Islands"
"13823","all tea fresh to order per pot","en","all tea fresh to order per pot"
"13824","iced tea, coffee or chocolate per glass","en","iced tea, coffee or chocolate per glass"
"13825","single orders served for two","en","single orders served for two"
"13826","Jungle Chop Tea","en","Jungle Chop Tea"
"13827","Formosa Oolong Tea","pt","Formosa Oolong Tea"
"13828","[Sweet Virginia Pickles] mixed","en","[Sweet Virginia Pickles] mixed"
"13829","Fillet of Sole fried, sauce tartare","en","Fillet of Sole fried, sauce tartare"
"13830","Ham Roll Sandwich","en","Ham Roll Sandwich"
"13831","Cold roast beef, potato salad.... extra cut","en","Cold roast beef, potato salad.... extra cut"
"13832","Noisette of Filet of Beef, Henry IV","en","Noisette of Filet of Beef, Henry IV"
"13833","Salmon Roll Sandwich","en","Salmon Roll Sandwich"
"13834","Cold spring chicken stuffed, (half)","en","Cold spring chicken stuffed, (half)"
"13835","Cold spring chicken stuffed.... whole","en","Cold spring chicken stuffed.... whole"
"13836","Golden Plover, on Toast, Fried Hominy","en","Golden Plover, on Toast, Fried Hominy"
"13837","Maryland Broiler (roast or broiled to order)","en","Maryland Broiler (roast or broiled to order)"
"13838","Canape of caviar or anchovies","en","Canape of caviar or anchovies"
"13839","Cold corned beef, potato salad","en","Cold corned beef, potato salad"
"13840","Cold ox-tongue, potato salad","en","Cold ox-tongue, potato salad"
"13841","Cold turkey, potato salad","en","Cold turkey, potato salad"
"13842","Cold assorted meats, potato salad","en","Cold assorted meats, potato salad"
"13843","Italian-style veal kidney","fr","Rognonoude de veau à l'Italienne"
"13844","Potatoes- mashed","en","Potatoes- mashed"
"13845","Lettuce salad","fr","Salade de laitue"
"13846","Potatoes- Saratoga","en","Potatoes- Saratoga"
"13847","Potatoes- Grilled","en","Potatoes- Grilled"
"13848","Planked Whitefish, Claremont style","en","Planked Whitefish, Claremont style"
"13849","Potatoes- Sautees","en","Potatoes- Sautees"
"13850","Russian eggs","fr","Oeufs a la Russe"
"13851","Potatoes- Julienne","en","Potatoes- Julienne"
"13852","Potatoes- Lyonnaise","fr","Potatoes- Lyonnaise"
"13853","Small Bluefish","en","Small Bluefish"
"13854","Corned Beef & Spinach","en","Corned Beef & Spinach"
"13855","POTATOES--hashed browned","en","POTATOES--hashed browned"
"13856","Potatoes- a la Villageoise","fr","Potatoes- a la Villageoise"
"13857","Veal or Pork Chops","en","Veal or Pork Chops"
"13858","Ice Cream or Pies of all kinds","en","Ice Cream or Pies of all kinds"
"13859","Consomme, hot or cold (cup)","en","Consomme, hot or cold (cup)"
"13860","Cold Corned Beef with Coffee","en","Cold Corned Beef with Coffee"
"13861","Sweetbread, under a bell at Eugenie","fr","Sweetbread, sous cloche a l'Eugenie"
"13862","Potatoes- Chateau","en","Potatoes- Chateau"
"13863","Cold Ham with Coffee","en","Cold Ham with Coffee"
"13864","Filet Mignon of Beef a la Girondin","fr","Filet Mignon of Beef a la Girondin"
"13865","POTATOES - au gratin cream","fr","POTATOES--a la creme au gratin"
"13866","Potatoes- Anna","en","Potatoes- Anna"
"13867","Breath crouton tomato","fr","Tomato au crouton souffle"
"13868","Potatoes- Sarah","en","Potatoes- Sarah"
"13869","Small pot [per person]","fr","Petit marmite [per person]"
"13870","Potatoes- Menagere","en","Potatoes- Menagere"
"13871","Chicken casserole, Bourgeoise","fr","Chicken en casserole, Bourgeoise"
"13872","Shrewsbury asparagus","en","Shrewsbury asparagus"
"13873","Pork and Beans (also served cold).","en","Pork and Beans (also served cold)."
"13874","Cod Fish","en","Cod Fish"
"13875","Muligatorni soup","fr","Potage Muligatorni"
"13876","EXTRA SIRLOIN, SIEGEL COOPER","en","EXTRA SIRLOIN, SIEGEL COOPER"
"13877","Ombrines a la Portuguese","fr","Ombrines a la Portugais"
"13878","Nivern Beef Fillet","fr","Filet de Boeuf a la Nivern"
"13879","Soft shell crabs (each)","en","Soft shell crabs (each)"
"13880","Frankfurter Potato Salad","en","Frankfurter Potato Salad"
"13881","Roasted wild duck in juice","fr","Canard sauvage roti au jus"
"13882","Artichoke Fund","fr","Fonds d'Artichauds"
"13883","Caviar (per person)","en","Caviar (per person)"
"13884","Duxbury clam stew","en","Duxbury clam stew"
"13885","Sardines (box)","en","Sardines (box)"
"13886","Sardine Sandwiches","en","Sardine Sandwiches"
"13887","Fresh (malossol) Russian caviar (per person)","en","Fresh (malossol) Russian caviar (per person)"
"13888","Barley Broth","en","Barley Broth"
"13889","Corned Beef and Cabage","en","Corned Beef and Cabage"
"13890","Fresh Fried Fish","en","Fresh Fried Fish"
"13891","Caviar Sandwiches","en","Caviar Sandwiches"
"13892","Ham, Beans, and Coffee","en","Ham, Beans, and Coffee"
"13893","Soda Wafers","en","Soda Wafers"
"13894","Corned Beef, Beans and Coffee","en","Corned Beef, Beans and Coffee"
"13895","Roast beef sandwich (hot)","en","Roast beef sandwich (hot)"
"13896","Mashed Potato","en","Mashed Potato"
"13897","Smoked sardines, box","en","Smoked sardines, box"
"13898","Fried English sole, Colbert","en","Fried English sole, Colbert"
"13899","Pork, Beans and Coffee","en","Pork, Beans and Coffee"
"13900","Fricassee of Rabbit","en","Fricassee of Rabbit"
"13901","Club sandwich, Siegel Cooper","de","Club sandwich, Siegel Cooper"
"13902","Veal & Ham Pie","en","Veal & Ham Pie"
"13903","Baked Blue Fish and mashed potato","en","Baked Blue Fish and mashed potato"
"13904","Gold or Silver Fizz","en","Gold or Silver Fizz"
"13905","Filet of English sole, Marguery","en","Filet of English sole, Marguery"
"13906","All Ice Creams served in this Restaurant are made with pure rich cream and fresh eggs.  The Cream is made daily in our Model Kitchen. All flavors...","en","All Ice Creams served in this Restaurant are made with pure rich cream and fresh eggs.  The Cream is made daily in our Model Kitchen. All flavors..."
"13907","Yankee pot roast garden style","en","Yankee pot roast garden style"
"13908","Whiskey, Manhattan or Martini Cocktails","en","Whiskey, Manhattan or Martini Cocktails"
"13909","Chicken Cutlet, Cream Sauce","en","Chicken Cutlet, Cream Sauce"
"13910","Turbot Sce Maximilien","fr","Turbot Sce Maximilien"
"13911","Filet of sole, white wine","da","Filet of sole, vin blanc"
"13912","Romaine salad","en","Romaine salad"
"13913","Potato-Salad","en","Potato-Salad"
"13914","Roasted partridges with croutons","fr","Perdreaux rotis aux Croutons"
"13915","Soft clams, Casino","en","Soft clams, Casino"
"13916","Lamb Pot Pie Country Style","en","Lamb Pot Pie Country Style"
"13917","Lobster salad","en","Lobster salad"
"13918","Fresh mushrooms under glass","en","Fresh mushrooms under glass"
"13919","Baked Country Sausages, Mashed Potatoes","en","Baked Country Sausages, Mashed Potatoes"
"13920","Veuve Clicquot (Yellow Label)","en","Veuve Clicquot (Yellow Label)"
"13921","Turkey Hash Manhattan Style","en","Turkey Hash Manhattan Style"
"13922","Oranges Each","en","Oranges Each"
"13923","Chicken Fricassee with Rice","en","Chicken Fricassee with Rice"
"13924","Duchess Potatoes","fr","Duchesse Potatoes"
"13925","Jam Sandwiches","en","Jam Sandwiches"
"13926","Romain Salad","en","Romain Salad"
"13927","Pomoloes","ru","Pomoloes"
"13928","Sweetbreads Broiled on Toast","en","Sweetbreads Broiled on Toast"
"13929","China Tea","en","China Tea"
"13930","Indian Tea","en","Indian Tea"
"13931","Dandelion with Bacon","en","Dandelion with Bacon"
"13932","Apple Fritters, Vanilla Sauce","en","Apple Fritters, Vanilla Sauce"
"13933","Cornstarch Jelly","en","Cornstarch Jelly"
"13934","Oyster Patties, Natural Sauce","en","Oyster Patties, Natural Sauce"
"13935","Game Fish, Maitre D'Hotel Sauce","en","Game Fish, Maitre D'Hotel Sauce"
"13936","California Zindfandel, Madrona Knoll Vineyard","en","California Zindfandel, Madrona Knoll Vineyard"
"13937","Roast Chicken, Currant Jelly","en","Roast Chicken, Currant Jelly"
"13938","Beef tongue sandwich","en","Beef tongue sandwich"
"13939","Royal squab, hotelier","ro","Royal squab, hoteliere"
"13940","Salted almonds, Celery, Stuffed olives","fr","Amandes salees, Celeri, Olives farcies"
"13941","Playing Cards","en","Playing Cards"
"13942","Corn beef and cabbage","en","Corn beef and cabbage"
"13943","Ribs of Beef, Spanish","en","Ribs of Beef, Spanish"
"13944","V. S. O. Brandy","ru","V. S. O.Brandy"
"13945","German Pan Cakes","en","German Pan Cakes"
"13946","River trout in blue","fr","Truite de riviere en bleu"
"13947","Jersey Pork, Apple Sauce","en","Jersey Pork, Apple Sauce"
"13948","Rye, Bourbon and Scotch Whiskies","en","Rye, Bourbon and Scotch Whiskies"
"13949","Raw chopped beef","en","Raw chopped beef"
"13950","Imp. Swiss cheese sandwich","en","Imp. Swiss cheese sandwich"
"13951","Punch Atba","gd","Punch Atba"
"13952","Old Tom Gin, per glass","en","Old Tom Gin, per glass"
"13953","Chartreuse, per glass","en","Chartreuse, per glass"
"13954","Creme de Menthe, for glass","ca","Creme de Menthe, per glass"
"13955","Anchovy [ditto mark for sandwich]","en","Anchovy [ditto mark for sandwich]"
"13956","Benedictine, per glass","en","Benedictine, per glass"
"13957","Bromo Seltzer, per bottle","en","Bromo Seltzer, per bottle"
"13958","Hunyadi Water, per glass","en","Hunyadi Water, per glass"
"13959","Broiled Fresh Mackerel Maitre d'Hotel","en","Broiled Fresh Mackerel Maitre d'Hotel"
"13960","Aneheuser-Busch Budweiser","su","Aneheuser-Busch Budweiser"
"13961","Blatz Private Stock Beer","en","Blatz Private Stock Beer"
"13962","Stuffed deviled lobster, half","en","Stuffed deviled lobster, half"
"13963","Bass & Co's Pale Ale (White Label)","en","Bass & Co's Pale Ale (White Label)"
"13964","Mallard Duck (half)","en","Mallard Duck (half)"
"13965","Lobster saute, Mariniere, half","en","Lobster saute, Mariniere, half"
"13966","Guinness' Dublin Porter","en","Guinness' Dublin Porter"
"13967","French Artichokes, hot","en","French Artichokes, hot"
"13968","French Artichokes, cold","en","French Artichokes, cold"
"13969","Broiled live lobster, half","en","Broiled live lobster, half"
"13970","Cold French Asparagus salad","en","Cold French Asparagus salad"
"13971","Cold Oyster Bay Asparagus salad","en","Cold Oyster Bay Asparagus salad"
"13972","Asparagus branches, Montmartre","fr","Asperges en branches, Montmartre"
"13973","Stewed Scallops, Creamed Sauce","en","Stewed Scallops, Creamed Sauce"
"13974","Lobster a la Newburg (chafing dish)  served for (1)","en","Lobster a la Newburg (chafing dish)  served for (1)"
"13975","Fillet of Beef with Mushrooms","fr","Fillet of Beef aux Champignons"
"13976","Side dish of bacon with fish","en","Side dish of bacon with fish"
"13977","Macaroni with Gratten","fr","Macaroni au Gratten"
"13978","Lobster a la Newburg (chafing dish)  served for (2)","en","Lobster a la Newburg (chafing dish)  served for (2)"
"13979","Side dish of salt pork with fish","en","Side dish of salt pork with fish"
"13980","Green Fritters, Jelly Sauce","en","Green Fritters, Jelly Sauce"
"13981","Hashed Chicken or Turkey","en","Hashed Chicken or Turkey"
"13982","Cigarettes, Sweet Caporal","en","Cigarettes, Sweet Caporal"
"13983","Brisket of Beef, Horseradish Sauce","en","Brisket of Beef, Horseradish Sauce"
"13984","Oysters, blue points, half shell","en","Oysters, blue points, half shell"
"13985","Cigarettes, Straight Cuts","en","Cigarettes, Straight Cuts"
"13986","Stuffed deviled lobster, whole","en","Stuffed deviled lobster, whole"
"13987","Pickled Pork and Cabbage","en","Pickled Pork and Cabbage"
"13988","Calves feet Spanish","en","Calves feet Spanish"
"13989","Box, half shell","en","Box, half shell"
"13990","Knuckle of Veal Celery Sauce","en","Knuckle of Veal Celery Sauce"
"13991","Pickled Ox Tongue and Asparagus","en","Pickled Ox Tongue and Asparagus"
"13992","Extra box, half shell","en","Extra box, half shell"
"13993","Lobster saute, Mariniere, whole","en","Lobster saute, Mariniere, whole"
"13994","Chicken Stuffed","en","Chicken Stuffed"
"13995","Ham and Madeira Sauce","en","Ham and Madeira Sauce"
"13996","Sweets, Strawberries, Petit fours","fr","Bonbons, Fraises, Petits fours"
"13997","bro","en","bro"
"13998","Fried oysters and bacon","en","Fried oysters and bacon"
"13999","Broiled live lobster, whole","en","Broiled live lobster, whole"
"14000","Fricassee of French Carrotts","en","Fricassee of French Carrotts"
"14001","Mock Turtle lie, a l'Oloroso","en","Mock Turtle lie, a l'Oloroso"
"14002","Baltimore oysters on toast","en","Baltimore oysters on toast"
"14003","Boiled Yellowtail, Sauce Crevette","en","Boiled Yellowtail, Sauce Crevette"
"14004","Chocolate Cream Asst Small Cakes","en","Chocolate Cream Asst Small Cakes"
"14005","Broiled Perch, Maitre d'Hotel","en","Broiled Perch, Maitre d'Hotel"
"14006","Salt codfish and cream","en","Salt codfish and cream"
"14007","Ham ice cream, Champagne Sauce","fr","Ham glace, Champagne Sauce"
"14008","Broiled oysters and bacon","en","Broiled oysters and bacon"
"14009","Roast Turkey, stuffed, Cranberry Sauce","en","Roast Turkey, stuffed, Cranberry Sauce"
"14010","Oyster pan roast","en","Oyster pan roast"
"14011","N. Y. Baked Beans","en","N. Y. Baked Beans"
"14012","Fried Hominy, with cream","en","Fried Hominy, with cream"
"14013","Perfect Claremont","fr","Claremont parfait"
"14014","Filet of Beef, larded, with Puree of Onions, Soubise","en","Filet of Beef, larded, with Puree of Onions, Soubise"
"14015","Russian caviar Claremont","en","Russian caviar Claremont"
"14016","Stuffed Tomatoes, a la Reine","en","Stuffed Tomatoes, a la Reine"
"14017","Sausage of Lyon","fr","Sausage de Lyon"
"14018","rockawys dozen","en","rockawys dozen"
"14019","Pears with Yellow Meal, Piemontaise","en","Pears with Yellow Meal, Piemontaise"
"14020","Punch a la Richelieu","ca","Punch a la Richelieu"
"14021","oysters,stewed","en","oysters,stewed"
"14022","Little Neck Clams broth in cup","en","Little Neck Clams broth in cup"
"14023","Scrambled Eggs Benedictine","en","Scrambled Eggs Benedictine"
"14024","Chicken casserole, Bourgeoise","fr","Chicken casserole, Bourgeoise"
"14025","Roast Gosling, Club House Dressing, Apple Sauce","en","Roast Gosling, Club House Dressing, Apple Sauce"
"14026","Turkish Scrambled Eggs","fr","Scrambled Eggs a la Turque"
"14027","Mignon of beef, Paloise","fr","Mignon of beef, Paloise"
"14028","Romaine and Tarragon","en","Romaine and Tarragon"
"14029","Breast of chicken, Esterhazy","en","Breast of chicken, Esterhazy"
"14030","Scrambled Eggs a la Mornay","en","Scrambled Eggs a la Mornay"
"14031","Lettuce and Tomato, Mayonnaise","en","Lettuce and Tomato, Mayonnaise"
"14032","Steamed Raisin Pudding, Brandy Sauce","en","Steamed Raisin Pudding, Brandy Sauce"
"14033","Lobsters, Crab meat, Frogs' legs, every style","en","Lobsters, Crab meat, Frogs' legs, every style"
"14034","Claret Wine Jelly","en","Claret Wine Jelly"
"14035","cepes mushrooms","en","cepes mushrooms"
"14036","vol-au-vent oysters","fr","oysters vol-au-vent"
"14037","Boned squab stuffed with foie-gras","en","Boned squab stuffed with foie-gras"
"14038","oyster cocktail, 25 patty","en","oyster cocktail, 25 patty"
"14039","Stuffed Dates","en","Stuffed Dates"
"14040","Cold Boiled Ham with N. Y. or Boston Beans","en","Cold Boiled Ham with N. Y. or Boston Beans"
"14041","oyster fricassee on toast","en","oyster fricassee on toast"
"14042","Puree of split peas with croutons","en","Puree of split peas with croutons"
"14043","Omelette with ham or bacon","en","Omelette with ham or bacon"
"14044","Fish Cakes poached eggs","en","Fish Cakes poached eggs"
"14045","Cold Boiled Corned Beef with N. Y. or Boston Baked Beans","en","Cold Boiled Corned Beef with N. Y. or Boston Baked Beans"
"14046","Scrambled Eggs a la Tripe","en","Scrambled Eggs a la Tripe"
"14047","Club House cheese","en","Club House cheese"
"14048","Fried halibut steak, Remoulade","en","Fried halibut steak, Remoulade"
"14049","clam fricassee on toast","en","clam fricassee on toast"
"14050","Chicken broth and rice","en","Chicken broth and rice"
"14051","Scrambled Eggs Meyerbeer","en","Scrambled Eggs Meyerbeer"
"14052","Scrambled Eggs a l'Empire","en","Scrambled Eggs a l'Empire"
"14053","Boiled salmon, lobster sauce","en","Boiled salmon, lobster sauce"
"14054","Scrambled Eggs in Casserole","fr","Scrambled Eggs en Cocotte"
"14055","Fish Cakes, Tomato Sauce, (Fridays)","en","Fish Cakes, Tomato Sauce, (Fridays)"
"14056","New cauliflower, any style","en","New cauliflower, any style"
"14057","Scrambled Eggs a l'Aurore","en","Scrambled Eggs a l'Aurore"
"14058","Stuffed green peppers (2)","en","Stuffed green peppers (2)"
"14059","Lion Brewery Pilsner Lager Beer on Draught, glass","en","Lion Brewery Pilsner Lager Beer on Draught, glass"
"14060","Stuffed tomatoes (2)","en","Stuffed tomatoes (2)"
"14061","Onion with Cheese au gratin","en","Onion with Cheese au gratin"
"14062","lobster broiled half","en","lobster broiled half"
"14063","lobster curry, with rice","en","lobster curry, with rice"
"14064","lobster stuffed","en","lobster stuffed"
"14065","Small pot coffee, tea or chocolate with cream","en","Small pot coffee, tea or chocolate with cream"
"14066","Vol-au-Vent of Chicken or Lobster a la Reine","fr","Vol-au-Vent of Chicken or Lobster a la Reine"
"14067","Malossol cavier","en","Malossol cavier"
"14068","Large cup of Coffee","en","Large cup of Coffee"
"14069","Good Table Claret","en","Good Table Claret"
"14070","Eggs, Russian style","en","Eggs, Russian style"
"14071","French stringless beans","en","French stringless beans"
"14072","Spiced bananas","en","Spiced bananas"
"14073","Philadelphia Squab in a Menagere casserole dish","fr","Philadelphia Squab en cocotte a la Menagere"
"14074","G. H. Mumm & Co. (extra dry)","en","G. H. Mumm & Co. (extra dry)"
"14075","Planked Sirloin Steak, Club Style","en","Planked Sirloin Steak, Club Style"
"14076","Cream of rice and peas","en","Cream of rice and peas"
"14077",""" with Tomatoes","en",""" with Tomatoes"
"14078","Sorrel","en","Sorrel"
"14079","SIRLOIN STEAK, SIEGEL COOPER","en","SIRLOIN STEAK, SIEGEL COOPER"
"14080","Mashed yellow turnips","en","Mashed yellow turnips"
"14081","Consume, profiteroles","fr","Consomme, profiteroles"
"14082","New beets (buttered)","en","New beets (buttered)"
"14083","Crust in the pot","fr","Croute au pot"
"14084","Finnan-haddie in cream in bordure","mt","Finnan-haddie in cream in bordure"
"14085","Eggs in a casserole dish","fr","Eggs en cocotte au jus"
"14086","Scrambled eggs with chicken livers","en","Scrambled eggs with chicken livers"
"14087","Fried flounder, tartar sauce","en","Fried flounder, tartar sauce"
"14088","Omelette with herbs","fr","Omelette, aux Fines Herbes"
"14089","Halibut in white wine","en","Halibut in white wine"
"14090","Broiled weakfish with sliced cucumbers","en","Broiled weakfish with sliced cucumbers"
"14091","Sea bass, Colbert","en","Sea bass, Colbert"
"14092","Scallops, Aurora","en","Scallops, Aurora"
"14093","Omelette, Armor's Star Ham","en","Omelette, Armor's Star Ham"
"14094","Frogs' legs, Meuniere","en","Frogs' legs, Meuniere"
"14095","Dublin Stout (Guinness)","en","Dublin Stout (Guinness)"
"14096","Spring turkey, chestnut stuffing, apple s'ce","en","Spring turkey, chestnut stuffing, apple s'ce"
"14097","Lobster, Xavier","en","Lobster, Xavier"
"14098","Milwaukee Beer, ""Pabst""","en","Milwaukee Beer, ""Pabst"""
"14099","Spring lamb with peas","en","Spring lamb with peas"
"14100","St. Louis Beer, ""Anheuser Busch""","en","St. Louis Beer, ""Anheuser Busch"""
"14101","hot consomme in cup","en","hot consomme in cup"
"14102","Hot consomme of chicken in cup","en","Hot consomme of chicken in cup"
"14103","Hot or cold clam broth in cup","en","Hot or cold clam broth in cup"
"14104","Omelette, Spanish style","en","Omelette, Spanish style"
"14105","Montreal Melon (1/4)","en","Montreal Melon (1/4)"
"14106","Fish Cakes with Poached Eggs","en","Fish Cakes with Poached Eggs"
"14107","Norway Mackerel, Salt","en","Norway Mackerel, Salt"
"14108","Ham [sandwich]","da","Ham [sandwich]"
"14109","Brandy cherries, figs","en","Brandy cherries, figs"
"14110","Peaches, raspberries and cream","en","Peaches, raspberries and cream"
"14111","Ribs of lamb, Nicoise","en","Ribs of lamb, Nicoise"
"14112","[Sandwich] of foie-gras","fr","[Sandwich] de foie-gras"
"14113","Cold Lobster, Plain, half","en","Cold Lobster, Plain, half"
"14114","CAKES -- Citron, Nut, Fruit, Pound, Mixed","en","CAKES -- Citron, Nut, Fruit, Pound, Mixed"
"14115","Country Sausage a' la Jackson","en","Country Sausage a' la Jackson"
"14116","Peach, Lemon, Vanilla, Coffee, Chocolate [ices]","en","Peach, Lemon, Vanilla, Coffee, Chocolate [ices]"
"14117","Mixed [ices]","en","Mixed [ices]"
"14118","Cold Lobster, Plain, whole","en","Cold Lobster, Plain, whole"
"14119","[Potatoes] O'Brien","en","[Potatoes] O'Brien"
"14120","Crab Meat a la Siegel Cooper","en","Crab Meat a la Siegel Cooper"
"14121","Stuffed Crabs, single","en","Stuffed Crabs, single"
"14122","Lobster a la Newburg, in Chafing Dish","en","Lobster a la Newburg, in Chafing Dish"
"14123","Extra coffee...Java, Mocha, Maracaibo or Mexican","en","Extra coffee...Java, Mocha, Maracaibo or Mexican"
"14124","Puree of Bean Soup","en","Puree of Bean Soup"
"14125","Sirloin Steak, served for two","en","Sirloin Steak, served for two"
"14126","Pork Tenderloin, Breaded, Tomato Sauce","en","Pork Tenderloin, Breaded, Tomato Sauce"
"14127","Sirloin Steak, en Casserole","en","Sirloin Steak, en Casserole"
"14128","Extra Sirloin Steak, en Casserole","en","Extra Sirloin Steak, en Casserole"
"14129","Kernels of Southdown mutton and tarragon","en","Kernels of Southdown mutton and tarragon"
"14130","Plover, Liegeoise","en","Plover, Liegeoise"
"14131","Extra Sirloin Steak, Bearnaise or Bordelaise","en","Extra Sirloin Steak, Bearnaise or Bordelaise"
"14132","Chicken saute, fine herbs","en","Chicken saute, fine herbs"
"14133","Extra Sirloin Steak, Double, Extra","en","Extra Sirloin Steak, Double, Extra"
"14134","Escalopes of veal, Vienna","en","Escalopes of veal, Vienna"
"14135","Round Bone Veal Cutlet, Tomato Sauce","en","Round Bone Veal Cutlet, Tomato Sauce"
"14136","Carbonnade of pork, Brussels sprouts","en","Carbonnade of pork, Brussels sprouts"
"14137","Tenderloin Steak, served for two","en","Tenderloin Steak, served for two"
"14138","Tenderloin Steak, with Mushrooms","en","Tenderloin Steak, with Mushrooms"
"14139","Sliced Tomatoes, Half Portion","en","Sliced Tomatoes, Half Portion"
"14140","Neapolitan Macaroni","fr","Macaroni Napolitaine"
"14141","[smoked beef] with cream","en","[smoked beef] with cream"
"14142","[Kidney] Stewed, Madeira Sauce","en","[Kidney] Stewed, Madeira Sauce"
"14143","Rissolees","pt","Rissolees"
"14144","[scrambled eggs] with Ham","en","[scrambled eggs] with Ham"
"14145","Sweet potatoes, broiled","en","Sweet potatoes, broiled"
"14146","Tenderloin Steak, en Casserole","en","Tenderloin Steak, en Casserole"
"14147","Small Porterhouse Steak, plain, for two","en","Small Porterhouse Steak, plain, for two"
"14148","Small Porterhouse Steak, with Mushrooms","en","Small Porterhouse Steak, with Mushrooms"
"14149","Steamed Corned Beef Hash","en","Steamed Corned Beef Hash"
"14150","Hazelnut Ice Cream","en","Hazelnut Ice Cream"
"14151","Steamed Corned Beef Hash, Poached Egg","en","Steamed Corned Beef Hash, Poached Egg"
"14152","Hamburger Steak, with Tomato sauce","en","Hamburger Steak, with Tomato sauce"
"14153","Roast chicken, whole","en","Roast chicken, whole"
"14154","Cardinal jelly","en","Cardinal jelly"
"14155","Brandy jelly","en","Brandy jelly"
"14156","G. H. Mumm & Co's Brut Special","en","G. H. Mumm & Co's Brut Special"
"14157","Coup Jack punch","en","Coup Jack punch"
"14158","Kirsch punch","en","Kirsch punch"
"14159","Pommery Sec., Brut","en","Pommery Sec., Brut"
"14160","Victoria punch","en","Victoria punch"
"14161","Diplomatic pudding","en","Diplomatic pudding"
"14162","Piper Heidsieck, Brut","ro","Piper Heidsieck, Brut"
"14163","Piper Heidsieck, Brut, 1898","ro","Piper Heidsieck, Brut, 1898"
"14164","Queen's tarts","fr","Tartelettes a la Reine"
"14165","Monopole, Red Top, 1898","en","Monopole, Red Top, 1898"
"14166","Roederer Brut","da","Roederer Brut"
"14167","Beef, Burgundy style","en","Beef, Burgundy style"
"14168","Turkey hash in cream","en","Turkey hash in cream"
"14169","Calf's brains, black butter","en","Calf's brains, black butter"
"14170","Tea with cream","en","Tea with cream"
"14171","Flower of Russia Caravan tea","en","Flower of Russia Caravan tea"
"14172","Moet & Chandon. Dry Imperial, Special Cuvee, 1884","en","Moet & Chandon. Dry Imperial, Special Cuvee, 1884"
"14173","Poultry Minced","fr","Hachis de Volaille"
"14174","Liver, Broiled or Fried","en","Liver, Broiled or Fried"
"14175","Poultry Minced Special","fr","Hachis de Volaille Special"
"14176","Armour's Star Ham, Broiled or Fried","en","Armour's Star Ham, Broiled or Fried"
"14177","raw little neck clams on half shell, dozen","en","raw little neck clams on half shell, dozen"
"14178","raw little neck clams, on half shell","en","raw little neck clams, on half shell"
"14179","Blue Point Oysters, Dozen","en","Blue Point Oysters, Dozen"
"14180","Saddle Rock Oysters, Half Dozen","en","Saddle Rock Oysters, Half Dozen"
"14181","Little Neck Clam Fry","en","Little Neck Clam Fry"
"14182","Little Neck Clam Fry with Bacon","en","Little Neck Clam Fry with Bacon"
"14183","Little Neck Clams, Broiled","en","Little Neck Clams, Broiled"
"14184","Little Neck Clams, Roast","en","Little Neck Clams, Roast"
